"y","NAO","EA","WP","EP_NP","PNA","EA_WR","SCA","POL","ENSO_MEI","AO","AMO","PDO"
"0",1.7,1.02,3.39,0.5,-0.92,-0.14,0.44,-0.31,-0.564,0.635,-0.318,0.15
"0",0.24,0.09,0.16,0.48,1.83,0.07,1.42,1.3,0.119,0.18,-0.062,1.75
"0",2.05,-0.62,2.03,0.57,-0.95,-1.84,0.94,-0.23,-0.468,0.771,-0.073,-0.65
"2",0.11,-0.14,0.41,0.55,-0.89,0.48,-0.58,-1.44,-0.076,-0.0153,0.222,-0.47
"0",1.95,-0.54,-1,-1.43,0.5,0.98,-0.44,1.2,1.122,1.1,-0.136,1.85
"0",1.87,-1.68,-0.87,1.78,-0.81,1.67,0.18,-0.36,-1.235,0.818,-0.423,-0.15
"3",-0.48,0.92,-1.2,-1.11,-0.02,0.22,0.68,0.24,0.481,-0.0302,0.48,0.66
"2",0.44,-1.84,-1.32,0.02,0.9,0.15,1.69,0.74,0.454,-0.112,0.388,1.27
"0",1.37,-0.05,-1.03,0.23,0.1,0.84,1.25,0.68,-0.123,0.408,-0.033,0.16
"0",1.05,-0.83,-0.04,-0.23,-0.73,0.1,0.87,-1.04,-0.396,0.059,-0.189,0.9
"2",-0.5,-0.21,-0.86,0.63,-0.51,1.17,-0.11,-0.22,-0.149,0.144,0.128,-1.19
"0",-0.11,-0.57,2.52,1.32,-0.27,0.05,0.21,0.31,-0.497,0.551,0.135,0.09
"0",-1.93,-0.34,0.6,-0.08,1.85,1.58,1.81,-0.55,-0.251,-1.01,0.347,-0.38
"0",1.35,-2.22,0.24,0.85,-1.14,2.08,1.24,-0.98,-0.184,0.466,-0.209,-0.03
"0",0.86,-0.59,1.72,-0.24,0.51,-0.44,-1.45,-1.28,0.349,0.0385,-0.078,0.84
"0",-0.67,-0.68,0.96,0.37,2.43,-0.87,1.49,-0.05,1.987,-1.61,-0.152,2.13
"0",0.38,-0.27,1.12,0.32,1.95,1.17,-0.39,0.29,-0.796,-0.672,0.339,-0.96
"0",-0.74,0.63,0.31,1.15,-0.53,0.63,0.25,-0.19,-0.398,-0.0014,-0.254,0.81
"1",0.38,-1.48,-0.96,0.7,-1.54,-2.09,-0.05,-2.21,-0.077,-0.244,-0.093,0.18
"0",1.87,-1.68,-0.87,1.78,-0.81,1.67,0.18,-0.36,-1.235,0.818,-0.423,-0.15
"0",0.41,-1.84,-0.64,0.3,-0.3,-0.12,0.73,-0.89,0.017,-0.341,0.018,0.23
"0",-0.52,-1.45,0.63,1.02,-0.92,-1.17,-0.71,-0.89,1.163,-0.115,-0.117,-1.47
"0",0.55,-2.42,0.6,0.94,-0.43,-0.71,-0.97,0.59,1.844,-0.466,0.301,2.01
"0",0.6,-0.58,0.42,-1.27,-0.26,1.35,1.86,-1.37,-1.069,0.27,-0.09,-0.57
"0",0.37,-0.41,0.4,-1.32,0.1,1.14,2.61,-0.8,2.741,-0.431,0.086,2.35
"0",-0.36,-0.74,2.13,-0.76,-0.52,0.36,0.35,-2.07,-0.153,-0.108,-0.007,-1.22
"0",-0.46,-1.74,0.32,0.99,-1.1,2.24,1.72,0.19,-1.733,0.13,-0.171,-1.07
"0",-0.04,-1.05,0.24,0.26,-1.11,0.24,-1.25,0.3,-0.921,0.068,0.034,-1.22
"0",-0.05,-1.89,-1.67,0.34,1.03,1.03,0.99,-1.09,0.068,-0.745,0.023,-0.62
